,FEDFUNDS,"('Close', 'DX-Y.NYB')","('High', 'DX-Y.NYB')","('Low', 'DX-Y.NYB')","('Open', 'DX-Y.NYB')","('Volume', 'DX-Y.NYB')",CPIAUCSL,DFII10,UNRATE
2018-02-01,1.42,88.66999816894531,89.33000183105469,88.55999755859375,89.04000091552734,0,249.529,0.67,4.1
2018-03-01,1.51,90.31999969482422,90.93000030517578,90.22000122070312,90.66999816894531,0,249.577,0.71,4.0
2018-05-01,1.7,92.44999694824219,92.56999969482422,91.80000305175781,91.80999755859375,0,250.792,0.81,3.8
2018-06-01,1.82,94.19000244140625,94.44999694824219,93.87999725341797,93.94999694824219,0,251.018,0.8,4.0
2018-08-01,1.91,94.62000274658203,94.70999908447266,94.48999786376953,94.55999755859375,0,251.663,0.87,3.8
2018-10-01,2.19,95.30000305175781,95.37000274658203,95.0,95.11000061035156,0,252.772,0.95,3.8
2018-11-01,2.2,96.27999877929688,97.12000274658203,96.19999694824219,97.08000183105469,0,252.594,1.12,3.8
2019-02-01,2.4,95.58000183105469,95.66000366210938,95.4000015258789,95.55000305175781,0,253.319,0.82,3.8
2019-03-01,2.41,96.52999877929688,96.55000305175781,96.06999969482422,96.22000122070312,0,254.277,0.8,3.8
2019-04-01,2.42,97.25,97.30000305175781,97.02999877929688,97.18000030517578,0,255.233,0.59,3.7
2019-05-01,2.39,97.69000244140625,97.7300033569336,97.1500015258789,97.52999877929688,0,255.296,0.59,3.6
2019-07-01,2.4,96.83999633789062,96.87000274658203,96.25,96.25,0,255.802,0.34,3.7
2019-08-01,2.13,98.38999938964844,98.93000030517578,98.2699966430664,98.58999633789062,0,256.036,0.2,3.6
2019-10-01,1.83,99.12999725341797,99.66999816894531,99.06999969482422,99.4000015258789,0,257.155,0.13,3.6
2019-11-01,1.55,97.23999786376953,97.44999694824219,97.11000061035156,97.30000305175781,0,257.879,0.14,3.6
2020-04-01,0.05,99.66999816894531,99.83999633789062,98.91000366210938,99.01000213623047,0,256.032,-0.29,14.8
2020-05-01,0.05,98.80000305175781,99.20999908447266,98.77999877929688,99.12999725341797,0,255.802,-0.42,13.2
2020-06-01,0.08,97.83000183105469,98.31999969482422,97.79000091552734,98.30000305175781,0,257.042,-0.52,11.0
2020-07-01,0.09,97.19999694824219,97.62000274658203,97.02999877929688,97.38999938964844,0,258.352,-0.68,10.2
2020-09-01,0.09,92.33999633789062,92.4000015258789,91.75,92.18000030517578,0,259.997,-1.08,7.8
2020-10-01,0.09,93.70999908447266,93.91999816894531,93.52999877929688,93.80000305175781,0,260.319,-0.95,6.9
2020-12-01,0.09,91.30999755859375,91.94999694824219,91.16000366210938,91.94999694824219,0,262.045,-0.89,6.7
2021-02-01,0.08,91.0199966430664,91.05999755859375,90.5,90.52999877929688,0,263.573,-1.02,6.2
2021-03-01,0.07,91.04000091552734,91.13999938964844,90.69000244140625,90.93000030517578,0,264.847,-0.71,6.1
2021-04-01,0.07,92.93000030517578,93.33999633789062,92.87999725341797,93.22000122070312,0,266.625,-0.66,6.1
2021-06-01,0.08,89.83000183105469,89.94000244140625,89.66000366210938,89.80999755859375,0,270.71,-0.84,5.9
2021-07-01,0.1,92.5999984741211,92.5999984741211,92.26000213623047,92.3499984741211,0,271.965,-0.87,5.4
2021-09-01,0.08,92.44999694824219,92.79000091552734,92.37999725341797,92.66000366210938,0,273.942,-1.03,4.7
2021-10-01,0.08,94.04000091552734,94.38999938964844,93.98999786376953,94.30999755859375,0,276.528,-0.9,4.5
2021-11-01,0.08,93.87999725341797,94.30999755859375,93.86000061035156,94.12999725341797,0,278.824,-0.92,4.2
2021-12-01,0.08,96.05000305175781,96.13999938964844,95.66999816894531,95.94000244140625,0,280.806,-1.01,3.9
2022-02-01,0.08,96.38999938964844,96.72000122070312,96.23999786376953,96.69999694824219,0,284.525,-0.62,3.8
2022-03-01,0.2,97.41000366210938,97.58000183105469,96.62999725341797,96.7699966430664,0,287.467,-0.9,3.7
2022-04-01,0.33,98.62999725341797,98.73999786376953,98.30999755859375,98.33999633789062,0,288.582,-0.41,3.7
2022-06-01,1.21,102.55000305175781,102.7300033569336,101.73999786376953,101.76000213623047,0,295.072,0.29,3.6
2022-07-01,1.68,105.13999938964844,105.63999938964844,104.73999786376953,104.77999877929688,0,294.94,0.54,3.5
2022-08-01,2.33,105.44999694824219,106.02999877929688,105.23999786376953,105.83000183105469,0,295.162,0.09,3.6
2022-09-01,2.56,109.69000244140625,109.9800033569336,108.7699966430664,108.83999633789062,0,296.421,0.81,3.5
2022-11-01,3.78,111.4800033569336,111.77999877929688,110.72000122070312,111.5199966430664,0,298.708,1.56,3.6
2022-12-01,4.1,104.7300033569336,105.9000015258789,104.66000366210938,105.69999694824219,0,298.808,1.17,3.5
2023-02-01,4.57,101.22000122070312,102.19000244140625,101.04000091552734,102.0999984741211,0,301.476,1.14,3.6
2023-03-01,4.65,104.4800033569336,105.08999633789062,104.08999633789062,105.04000091552734,0,301.643,1.57,3.5
2023-05-01,5.06,102.1500015258789,102.19000244140625,101.62000274658203,101.66999816894531,0,303.316,1.36,3.6
2023-06-01,5.08,103.55999755859375,104.5,103.5,104.1500015258789,0,304.099,1.45,3.6
2023-08-01,5.33,102.30000305175781,102.43000030517578,101.8499984741211,101.87000274658203,0,306.138,1.68,3.7
2023-09-01,5.33,104.23999786376953,104.29000091552734,103.2699966430664,103.62000274658203,0,307.374,1.92,3.8
2023-11-01,5.33,106.87999725341797,107.11000061035156,106.61000061035156,106.66999816894531,0,308.087,2.36,3.7
2023-12-01,5.33,103.2699966430664,103.72000122070312,103.12000274658203,103.36000061035156,0,308.735,2.0,3.8
2024-02-01,5.33,103.05000305175781,103.80999755859375,103.0199966430664,103.51000213623047,0,311.022,1.68,3.9
2024-03-01,5.33,103.86000061035156,104.29000091552734,103.83999633789062,104.12999725341797,0,312.107,1.87,3.9
2024-04-01,5.33,105.0199966430664,105.08000183105469,104.41999816894531,104.48999786376953,0,313.016,1.98,3.9
2024-05-01,5.33,105.76000213623047,106.48999786376953,105.44000244140625,106.31999969482422,0,313.14,2.25,4.0
2024-07-01,5.33,105.9000015258789,105.9800033569336,105.43000030517578,105.8499984741211,0,313.566,2.16,4.2
2024-08-01,5.33,104.41999816894531,104.44999694824219,103.86000061035156,104.06999969482422,0,314.131,1.79,4.2
2024-10-01,4.83,101.19000244140625,101.38999938964844,100.69999694824219,100.73999786376953,0,315.564,1.55,4.1
2024-11-01,4.64,104.27999877929688,104.3499984741211,103.68000030517578,103.86000061035156,0,316.449,2.04,4.2
