Date,Gold,TRIX,KAMA,SMA_50,SMA_200,MACD,MACD_Signal,RSI_14,Volume,BB_Width,ATR,Elder_Force,flux_dollars,shares
2008-02-01,908.7000122070312,,,,,,,86.3848289706036,2152,0.495422923740527,32.12302958130885,22925.88067626953,0.0,0.0
2008-04-01,882.9000244140625,,,,,,,81.35837275094958,3204,0.5260515919907766,31.671383739284554,20435.77915132963,0.0,0.0
2008-05-01,848.9000244140625,,,,,,,75.15237998357979,28,0.5344631756090914,31.8377134721928,18406.2394127479,0.0,0.0
2008-07-01,942.5,,,,,,,79.73520029113365,32,0.4970810639742517,36.24930362317456,18680.439279409555,0.0,0.0
2008-08-01,909.0,,,,,,,74.44312080938506,1834,0.5157610138094196,36.052924792947806,13957.96237886869,0.0,0.0
2008-10-01,880.7000122070312,,905.679129244312,,,,,70.20410625097202,304,0.5334353627405086,35.499143578663585,11722.575998159555,0.0,0.0
2008-12-01,774.5999755859375,,895.5343743560989,,,,,57.08077314328934,2791,0.5744542882910356,40.54206451026574,-12226.640681340145,0.0,0.0
2009-04-01,926.0999755859375,,898.7797889029811,,,,,66.66340251915787,3659,0.5026633463238371,48.46763133096105,30414.405475323016,0.0,0.0
2009-05-01,887.5999755859375,,897.7563521414868,,,111.5457357566712,118.17706905073594,62.82460381145836,506,0.5225046689141994,47.75565766446383,28910.2823814979,0.0,0.0
2009-06-01,978.5999755859375,,906.8962481299487,,,115.04628833541778,117.55091290767231,67.57713139343785,2883,0.49463997606924087,50.844539259859275,49459.52994009165,0.0,0.0
2009-07-01,941.0,,910.1145169334128,,,113.47838944484056,116.73640821510597,63.939892739523486,88,0.5089148004622509,49.898498997436285,50389.443504920375,0.0,0.0
2009-09-01,954.7000122070312,,914.3959184849908,,,112.04965608047803,115.79905778818038,64.68572373888361,17,0.4876706237844774,47.31289279812164,46265.941706730766,0.0,0.0
2009-10-01,999.5,,923.0669628570296,,,113.2271471308527,115.28467565671484,67.08329434152701,213,0.46329836456371115,47.133399583467856,46986.587660569414,0.0,0.0
2009-12-01,1199.0999755859375,,959.1592230594795,,,128.78185016998634,117.98411055936914,75.17131265598186,3787,0.4439963569523032,58.02386929792998,85598.05747164213,0.0,0.0
2010-02-01,1104.300048828125,,972.0539196029198,,,131.93859656845655,120.77500776118663,66.77872156217468,2452,0.48813956622562676,60.65073054506444,74076.03750845102,0.0,0.0
2010-03-01,1117.800048828125,,983.886073394615,,,133.9851802530875,123.4170422595668,67.33796085111678,184,0.48268550028219614,57.28282122041698,74340.34520075872,0.0,0.0
2010-04-01,1125.0999755859375,,995.7639169316008,,,134.6440627074462,125.66244634914268,67.65503254286344,2696,0.46766254835668464,53.71261447308809,75623.83776385967,0.0,0.0
2010-06-01,1224.800048828125,,1015.2186428066425,,,141.57915807753204,128.84578869482056,71.69631181910788,4547,0.4303182206837249,56.99743295659518,115221.93261249248,0.0,0.0
2010-07-01,1206.300048828125,,1032.1617551579152,,,143.92341618141654,131.86131419213976,69.94984697260709,50,0.4415620703121715,54.24761631683838,115812.56309626653,0.0,0.0
2010-09-01,1246.300048828125,,1051.8164047866112,,,147.31081593595377,134.95121454090255,71.5628038370301,41,0.4419471063703706,53.22992943706421,138717.57865084134,0.0,0.0
2010-10-01,1316.0999755859375,,1080.7678349032165,,,153.8540912008333,138.7317898728887,74.16839959225491,153,0.4609929202683418,54.41350067426051,96897.64701960637,0.0,0.0
2010-11-01,1350.199951171875,,1112.3634657223402,,,159.9474919115022,142.9749302806114,75.35637810515261,40,0.4851503589339006,52.96253459652315,98501.10848294772,0.0,0.0
2010-12-01,1387.300048828125,,1144.9492680383435,,,165.8583123165247,147.55160668779405,76.61638959773072,4759,0.4989006188380507,51.82950338650364,91901.59807880108,0.0,0.0
2011-02-01,1339.5999755859375,,1164.3873112729416,,,164.79403969924238,151.00009329008373,71.55098366487138,3180,0.536018847691665,51.534544090481056,80487.94922814003,0.0,0.0
